Title,Year,Type,Runtime,Genre,Rating,Director,No_of_ratings,Gross
Michael Clayton,2007,R,119 min,"Crime, Drama, Mystery",7.3,Tony Gilroy,145702,$49.03M
Queen of the Desert,2015,PG-13,128 min,"Adventure, Biography, Drama",5.7,Werner Herzog,7465,NaN
Battle Los Angeles,2011,PG-13,116 min,"Action, Sci-Fi",5.8,Jonathan Liebesman,164276,$83.55M
Saw III,2006,R,108 min,"Horror, Mystery, Thriller",6.2,Darren Lynn Bousman,161100,$80.24M
Rememory,2017,PG-13,111 min,"Drama, Mystery, Sci-Fi",6.2,Mark Palansky,11531,NaN
Clerks II,2006,R,97 min,Comedy,7.4,Kevin Smith,122218,$24.14M
Chloe,2009,R,96 min,"Drama, Mystery, Romance",6.3,Atom Egoyan,63095,$3.07M
Centurion,2010,R,97 min,"Action, Adventure, Drama",6.4,Neil Marshall,71768,$0.12M
Yip Man 3,2015,PG-13,105 min,"Action, Biography, Drama",7.1,Wilson Yip,35617,$2.68M
Imperium,2016,R,109 min,"Crime, Drama, Thriller",6.5,Daniel Ragussis,35273,NaN
Heist,2015,R,93 min,"Action, Crime, Thriller",6.1,Scott Mann,23246,NaN
Marley & Me,2008,PG,115 min,"Comedy, Drama, Family",7.1,David Frankel,131484,$143.15M
Exam,2009,Not Rated,101 min,"Mystery, Thriller",6.9,Stuart Hazeldine,89990,NaN
Australia,2008,PG-13,165 min,"Adventure, Drama, Romance",6.6,Baz Luhrmann,111257,$49.55M
The Escort,V) (2016,Not Rated,88 min,"Comedy, Drama, Romance",6,Will Slocombe,9430,NaN
Whiskey Tango Foxtrot,2016,R,112 min,"Biography, Comedy, Drama",6.6,Glenn Ficarra,44188,$23.05M
Blitz,2011,R,97 min,"Action, Crime, Thriller",6.2,Elliott Lester,75063,NaN
Killing Them Softly,2012,R,97 min,"Crime, Thriller",6.2,Andrew Dominik,121489,$15.03M
Miami Vice,2006,R,134 min,"Action, Crime, Thriller",6,Michael Mann,100395,$63.45M
Valentine's Day,2010,PG-13,125 min,"Comedy, Romance",5.7,Garry Marshall,103932,$110.49M
Bachelorette,2012,R,87 min,"Comedy, Romance",5.3,Leslye Headland,41836,$0.45M
The Roommate,2011,PG-13,91 min,"Drama, Thriller",4.9,Christian E. Christiansen,32040,$37.30M
The Recall,2017,R,90 min,"Horror, Sci-Fi, Thriller",4.5,Mauro Borrelli,6285,$1.32M
Turbo,2013,PG,96 min,"Animation, Adventure, Comedy",6.4,David Soren,71276,$83.03M
Kill the Irishman,2011,R,106 min,"Biography, Crime, Drama",7.1,Jonathan Hensleigh,40036,$1.19M
Empire State,2013,R,94 min,"Crime, Thriller",5.2,Dito Montiel,17172,NaN
The Gunman,2015,R,115 min,"Action, Crime, Drama",5.8,Pierre Morel,34511,$10.64M
Bleed for This,2016,R,117 min,"Biography, Drama, Sport",6.8,Ben Younger,19707,$4.85M
The Man with the Iron Fists,2012,R,95 min,Action,5.4,RZA,57298,$15.63M
Amour,2012,PG-13,127 min,"Drama, Romance",7.9,Michael Haneke,81730,$6.74M
Extreme Movie,2008,R,86 min,Comedy,3.7,Adam Jay Epstein,10101,NaN
Small Town Crime,2017,R,91 min,"Crime, Mystery, Thriller",6.6,Eshom Nelms,6575,NaN
The Family Stone,2005,PG-13,103 min,"Comedy, Drama, Romance",6.3,Thomas Bezucha,54336,$60.06M
Cell,2016,R,98 min,"Action, Drama, Horror",4.3,Tod Williams,20577,NaN
Berlin Syndrome,2017,R,116 min,"Drama, Horror, Mystery",6.3,Cate Shortland,16359,$0.03M
Lie with Me,2005,Not Rated,93 min,"Drama, Romance",5.4,Clement Virgo,13078,NaN
My Big Fat Greek Wedding 2,2016,PG-13,94 min,"Comedy, Romance",6,Kirk Jones,24649,$59.57M
Anna,VII) (2013,R,99 min,"Drama, Mystery, Sci-Fi",6.5,Jorge Dorado,18500,$0.00M
In a Valley of Violence,2016,R,104 min,"Action, Crime, Drama",6,Ti West,11768,$0.05M
The Zero Theorem,2013,R,107 min,"Comedy, Drama, Fantasy",6.1,Terry Gilliam,40567,$0.22M
Mr. Right,2015,R,95 min,"Action, Comedy, Romance",6.3,Paco Cabezas,37998,$0.03M
Safe,2012,R,94 min,"Action, Crime, Thriller",6.5,Boaz Yakin,93333,$17.14M
The Ottoman Lieutenant,2017,R,106 min,"Drama, War",6.7,Joseph Ruben,21369,NaN
Snakes on a Plane,2006,R,105 min,"Action, Adventure, Crime",5.5,David R. Ellis,123485,$34.02M
Fruitvale Station,2013,R,85 min,"Biography, Drama, Romance",7.5,Ryan Coogler,65552,$16.10M
Loving,2016,PG-13,123 min,"Biography, Drama, Romance",7,Jeff Nichols,25927,$7.70M
The Young Victoria,2009,PG,105 min,"Biography, Drama, History",7.3,Jean-Marc Vallée,52037,$11.00M
When in Rome,2010,PG-13,91 min,"Comedy, Romance",5.6,Mark Steven Johnson,55859,$32.67M
Song of the Sea,2014,PG,93 min,"Animation, Adventure, Drama",8.1,Tomm Moore,40323,$0.86M
Ramona and Beezus,2010,G,103 min,"Adventure, Comedy, Family",6.6,Elizabeth Allen Rosenbaum,15511,$26.16M
"Lust, Caution",2007,NC-17,157 min,"Drama, History, Romance",7.6,Ang Lee,33648,$4.60M
King Cobra,2016,Not Rated,91 min,"Comedy, Crime, Drama",5.6,Justin Kelly,6173,$0.03M
Nine,2009,PG-13,118 min,"Drama, Musical, Romance",5.8,Rob Marshall,40122,$19.66M
Selma,2014,PG-13,128 min,"Biography, Drama, History",7.5,Ava DuVernay,74594,$52.08M
Overdrive,2017,PG-13,93 min,"Action, Thriller",5.4,Antonio Negret,9073,NaN
The Man Who Knew Infinity,2015,PG-13,108 min,"Biography, Drama",7.2,Matt Brown,39729,$3.87M
The Kids Are All Right,2010,R,106 min,"Comedy, Drama, Romance",7,Lisa Cholodenko,118604,$20.81M
OtherLife,2017,NaN,96 min,"Crime, Mystery, Sci-Fi",6.3,Ben C. Lucas,8749,NaN
Frozen,2010,R,93 min,"Drama, Thriller",6.2,Adam Green,60233,$0.24M
The Last King of Scotland,2006,R,123 min,"Biography, Drama, History",7.7,Kevin Macdonald,161025,$17.61M
Afternoon Delight,2013,R,98 min,"Comedy, Drama",5.8,Jill Soloway,8611,$0.17M
Shin Godzilla,2016,Not Rated,120 min,"Action, Adventure, Drama",6.7,Hideaki Anno,15735,$1.91M
Letters from Iwo Jima,2006,R,141 min,"Drama, History, War",7.9,Clint Eastwood,143202,$13.76M
Irrational Man,2015,R,95 min,"Comedy, Drama",6.6,Woody Allen,47411,$4.03M
The Homesman,2014,R,122 min,"Drama, Western",6.6,Tommy Lee Jones,26462,$2.43M
Clown,2014,R,100 min,"Drama, Fantasy, Horror",5.7,Jon Watts,18264,$0.06M
The Smurfs,2011,PG,103 min,"Animation, Adventure, Comedy",5.5,Raja Gosnell,75067,$142.61M
Prom Night,2008,PG-13,88 min,"Horror, Mystery",3.9,Nelson McCormick,30606,$43.87M
Maps to the Stars,2014,R,111 min,"Comedy, Drama",6.2,David Cronenberg,33383,$0.35M
The Nines,2007,R,100 min,"Drama, Fantasy, Mystery",6.4,John August,30739,$0.06M
The Canyons,2013,R,99 min,"Drama, Thriller",3.8,Paul Schrader,9557,$0.05M
Lords of Dogtown,2005,PG-13,107 min,"Biography, Drama, Sport",7.1,Catherine Hardwicke,48066,$11.01M
The Skeleton Key,2005,PG-13,104 min,"Drama, Horror, Mystery",6.5,Iain Softley,97010,$47.81M
Sydney White,2007,PG-13,108 min,"Comedy, Drama, Romance",6.3,Joe Nussbaum,41758,$11.89M
Io sono l'amore,2009,R,120 min,"Drama, Romance",7.1,Luca Guadagnino,17359,$5.01M
Kill Your Darlings,2013,R,104 min,"Biography, Drama, Romance",6.5,John Krokidas,31356,$1.03M
Thank You for Your Service,2017,R,109 min,"Biography, Drama, War",6.5,Jason Hall,8141,$9.47M
Red Riding Hood,2011,PG-13,100 min,"Fantasy, Horror, Mystery",5.5,Catherine Hardwicke,99777,$37.66M
Er ist wieder da,2015,Not Rated,116 min,"Comedy, Fantasy",7.1,David Wnendt,31341,NaN
Mine,2016,Not Rated,106 min,"Thriller, War",5.9,Fabio Guaglione,11414,NaN
A Walk in the Woods,2015,R,104 min,"Adventure, Biography, Comedy",6.3,Ken Kwapis,20837,$29.47M
Goodnight Mommy,2014,R,99 min,"Horror, Mystery, Thriller",6.7,Severin Fiala,32972,$1.17M
The Last Stand,2013,R,107 min,"Action, Thriller",6.4,Jee-woon Kim,124000,$12.05M
The Love Witch,2016,Unrated,120 min,"Comedy, Horror, Romance",6.2,Anna Biller,8055,$0.23M
Chalard games goeng,2017,NaN,130 min,"Comedy, Crime, Drama",7.7,Nattawut Poonpiriya,11373,NaN
The Osiris Child,2016,Not Rated,95 min,"Action, Adventure, Drama",5.6,Shane Abbess,5461,NaN
Half Nelson,2006,R,106 min,Drama,7.2,Ryan Fleck,78500,$2.69M
Cop Out,2010,R,107 min,"Action, Comedy, Crime",5.6,Kevin Smith,80044,$44.88M
Thank You for Smoking,2005,R,92 min,"Comedy, Drama",7.6,Jason Reitman,202942,$24.79M
The Dinner,2017,R,120 min,"Crime, Drama, Thriller",4.5,Oren Moverman,5714,$1.32M
"I Love You, Beth Cooper",2009,PG-13,102 min,"Comedy, Romance",5.3,Chris Columbus,31171,$14.79M
In the Name of the King: A Dungeon Siege Tale,2007,PG-13,127 min,"Action, Adventure, Fantasy",3.8,Uwe Boll,41141,$4.54M
The Hollars,2016,PG-13,88 min,"Comedy, Drama, Romance",6.5,John Krasinski,9130,$1.02M
Punisher: War Zone,2008,R,103 min,"Action, Adventure, Crime",6,Lexi Alexander,55127,$7.95M
USS Indianapolis: Men of Courage,2016,R,128 min,"Action, Drama, History",5.2,Mario Van Peebles,8521,NaN
The Runaways,2010,R,106 min,"Biography, Drama, Music",6.6,Floria Sigismondi,42894,$3.57M
Nights in Rodanthe,2008,PG-13,97 min,"Drama, Romance",6,George C. Wolfe,20464,$41.85M
Frances Ha,2012,R,86 min,"Comedy, Drama, Romance",7.4,Noah Baumbach,56715,$4.06M
Megan Is Missing,2011,Not Rated,85 min,"Drama, Horror, Thriller",4.7,Michael Goi,7347,NaN
Veronica Mars,2014,PG-13,107 min,"Crime, Drama, Mystery",6.8,Rob Thomas,45460,$3.32M
An American Crime,2007,R,98 min,"Biography, Crime, Drama",7.4,Tommy O'Haver,28431,NaN
Who Am I - Kein System ist sicher,2014,Not Rated,102 min,"Crime, Drama, Mystery",7.6,Baran bo Odar,36981,NaN
Tallulah,2016,NaN,111 min,"Comedy, Drama, Romance",6.7,Sian Heder,13527,NaN
The Spy Next Door,2010,PG,94 min,"Action, Comedy, Family",5.4,Brian Levant,35193,$24.27M
"McFarland, USA",2015,PG,129 min,"Biography, Drama, Sport",7.4,Niki Caro,29963,$44.47M
What's Your Number?,2011,R,106 min,"Comedy, Romance",6.1,Mark Mylod,65993,$14.01M
Bushwick,2017,TV-MA,94 min,"Action, Adventure",5.2,Cary Murnion,6378,NaN
Edge of Darkness,2010,R,117 min,"Crime, Drama, Mystery",6.6,Martin Campbell,82612,$43.31M
The Hottie & the Nottie,2008,PG-13,91 min,"Comedy, Romance",1.9,Tom Putnam,34738,$0.03M
Hannibal Rising,2007,R,121 min,"Adventure, Crime, Drama",6.2,Peter Webber,95110,$27.67M
Transporter 3,2008,PG-13,104 min,"Action, Crime, Thriller",6.1,Olivier Megaton,142375,$31.72M
Killer Elite,2011,R,116 min,"Action, Crime, Thriller",6.5,Gary McKendry,114646,$25.12M
Ultraviolet,2006,PG-13,88 min,"Action, Sci-Fi, Thriller",4.4,Kurt Wimmer,75198,$18.50M
Epic Movie,2007,PG-13,86 min,"Adventure, Comedy",2.3,Jason Friedberg,95963,$39.74M
Alvin and the Chipmunks: The Squeakquel,2009,PG,88 min,"Animation, Comedy, Family",4.5,Betty Thomas,37142,$219.61M
No Reservations,2007,PG,104 min,"Comedy, Drama, Romance",6.3,Scott Hicks,64804,$43.11M
Maniac,2012,Not Rated,89 min,"Horror, Thriller",6.1,Franck Khalfoun,31225,$0.02M
Paul Blart: Mall Cop 2,2015,PG,94 min,"Action, Comedy, Crime",4.4,Andy Fickman,29395,$71.04M
People Like Us,2012,PG-13,114 min,"Comedy, Drama",7.1,Alex Kurtzman,38578,$12.41M
Krampus,2015,PG-13,98 min,"Action, Comedy, Fantasy",6.2,Michael Dougherty,50635,$42.59M
Lockout,2012,PG-13,95 min,"Action, Adventure, Sci-Fi",6.1,Steve Saint Leger,87948,$14.33M
I Give It a Year,2013,R,97 min,"Comedy, Romance",5.7,Dan Mazer,33316,$0.03M
Little Fockers,2010,PG-13,98 min,"Comedy, Romance",5.5,Paul Weitz,95866,$148.38M
Kiss Me,2011,Not Rated,105 min,"Drama, Romance",6.9,Alexandra-Therese Keining,7989,NaN
The Hills Have Eyes II,2007,R,89 min,"Horror, Thriller",5.1,Martin Weisz,55375,$20.80M
Blades of Glory,2007,PG-13,93 min,"Comedy, Sport",6.3,Josh Gordon,142859,$118.59M
The Cave,2005,PG-13,97 min,"Action, Adventure, Horror",5.1,Bruce Hunt,31954,$15.01M
The 9th Life of Louis Drax,2016,R,108 min,"Mystery, Thriller",6.3,Alexandre Aja,11023,NaN
Drishyam,2015,Not Rated,163 min,"Crime, Drama, Thriller",8.3,Nishikant Kamat,49088,$0.74M
Wild Hogs,2007,PG-13,100 min,"Adventure, Comedy",5.9,Walt Becker,107192,$168.27M
Straw Dogs,2011,R,110 min,"Action, Drama, Thriller",5.8,Rod Lurie,29878,$10.32M
Littleman,2006,PG-13,98 min,"Comedy, Crime",4.3,Keenen Ivory Wayans,44531,$58.65M
Le Petit Prince,2015,PG,108 min,"Animation, Adventure, Drama",7.8,Mark Osborne,46739,$1.34M
Big Momma's House 2,2006,PG-13,99 min,"Comedy, Crime",4.7,John Whitesell,36413,$70.17M
The Switch,2010,PG-13,101 min,"Comedy, Drama, Romance",6.1,Josh Gordon,87695,$27.76M
Skyline,2010,PG-13,92 min,"Action, Sci-Fi, Thriller",4.4,Colin Strause,82251,$21.37M
Horns,2013,R,120 min,"Crime, Drama, Fantasy",6.5,Alexandre Aja,67322,$0.16M
We Own the Night,2007,R,117 min,"Crime, Drama, Thriller",6.9,James Gray,78080,$28.56M
Outlander,2008,R,115 min,"Action, Adventure, Sci-Fi",6.3,Howard McCain,67755,$0.16M
The Devil's Candy,2015,Not Rated,79 min,"Drama, Horror, Thriller",6.4,Sean Byrne,12211,NaN
Revolt,2017,R,87 min,"Action, Sci-Fi, War",5.2,Joe Miale,5849,NaN
Big Stan,2007,R,105 min,"Action, Comedy",6.2,Rob Schneider,37864,NaN
Charlotte's Web,2006,G,97 min,"Comedy, Family, Fantasy",6.3,Gary Winick,32086,$82.99M
Brick,2005,R,110 min,"Action, Crime, Drama",7.4,Rian Johnson,92566,$2.06M
The Best Exotic Marigold Hotel,2011,PG-13,124 min,"Comedy, Drama, Romance",7.3,John Madden,83191,$46.41M
Resident Evil: Extinction,2007,R,94 min,"Action, Horror, Sci-Fi",6.3,Russell Mulcahy,168391,$50.65M
Mugen no jûnin,2017,R,140 min,"Action, Drama, Fantasy",6.8,Takashi Miike,10403,$0.15M
Redemption,2013,R,100 min,"Action, Crime, Drama",6.2,Steven Knight,59123,$0.03M
Stonehearst Asylum,2014,PG-13,112 min,"Drama, Horror, Thriller",6.8,Brad Anderson,43667,NaN
Certain Women,2016,R,107 min,Drama,6.3,Kelly Reichardt,9252,$1.03M
Starry Eyes,2014,Not Rated,98 min,"Drama, Fantasy, Horror",6,Kevin Kölsch,14929,NaN
Into the Storm,2014,PG-13,89 min,"Action, Thriller",5.8,Steven Quale,59446,$47.60M
Genius,2016,PG-13,104 min,"Biography, Drama",6.5,Michael Grandage,14331,$1.36M
Palmeras en la nieve,2015,NaN,163 min,"Drama, Romance",7.4,Fernando González Molina,6947,NaN
Step Up Revolution,2012,PG-13,99 min,"Drama, Music, Romance",6.5,Scott Speer,50061,$35.07M
Casanova,2005,R,112 min,"Adventure, Comedy, Drama",6.5,Lasse Hallström,48269,$11.29M
The Uninvited,2009,PG-13,87 min,"Drama, Horror, Mystery",6.4,Charles Guard,69317,$28.57M
Inland Empire,2006,R,180 min,"Drama, Mystery, Thriller",7,David Lynch,47854,$0.75M
Hannah Montana: The Movie,2009,G,102 min,"Comedy, Drama, Family",4.3,Peter Chelsom,35614,$79.57M
Take Me Home Tonight,2011,R,97 min,"Comedy, Drama, Romance",6.3,Michael Dowse,47303,$6.92M
In the Land of Women,2007,PG-13,97 min,"Comedy, Drama, Romance",6.5,Jonathan Kasdan,29657,$11.04M
Tangerines,2013,Not Rated,87 min,"Drama, War",8.3,Zaza Urushadze,29539,$0.14M
The Number 23,2007,R,98 min,"Crime, Drama, Horror",6.4,Joel Schumacher,180020,$35.19M
Maudie,2016,PG-13,115 min,"Biography, Drama, Romance",7.7,Aisling Walsh,9406,$6.17M
Escobar: Paradise Lost,2014,R,120 min,"Crime, Drama, History",6.5,Andrea Di Stefano,18400,$0.11M
The Vatican Tapes,2015,PG-13,91 min,"Horror, Thriller",5,Mark Neveldine,15180,$1.71M
Absolutely Anything,2015,R,85 min,"Comedy, Sci-Fi",6,Terry Jones,31852,NaN
Moms' Night Out,2014,PG,98 min,Comedy,5.5,Andrew Erwin,12000,$10.43M
Righteous Kill,2008,R,101 min,"Crime, Drama, Mystery",6,Jon Avnet,79017,$40.08M
Nurse 3D,2013,R,84 min,"Horror, Thriller",4.6,Douglas Aarniokoski,8455,NaN
Bait,2012,R,93 min,"Action, Horror, Thriller",5.2,Kimble Rendall,13773,NaN
Hunger,2008,Not Rated,96 min,"Biography, Drama",7.6,Steve McQueen,59023,$0.15M
Observe and Report,2009,R,86 min,"Comedy, Crime, Drama",5.8,Jody Hill,55926,$23.99M
Cake,2014,R,102 min,Drama,6.4,Daniel Barnz,32084,$1.87M
Ask Me Anything,2014,Not Rated,100 min,Drama,6.1,Allison Burnett,10295,NaN
The Omen,2006,R,110 min,Horror,5.5,John Moore,52425,$54.61M
Diary of a Mad Black Woman,2005,PG-13,116 min,"Comedy, Drama, Romance",5.8,Darren Grant,12442,$50.63M
Fired Up!,2009,PG-13,90 min,Comedy,6.2,Will Gluck,39939,$17.23M
What Happens in Vegas,2008,PG-13,99 min,"Comedy, Romance",6.1,Tom Vaughan,153666,$80.28M
Broken Flowers,2005,R,106 min,"Comedy, Drama, Mystery",7.2,Jim Jarmusch,89673,$13.74M
iBoy,2017,NaN,90 min,"Action, Crime, Sci-Fi",6,Adam Randall,14716,NaN
The Birth of a Nation,2016,R,120 min,"Biography, Drama, History",6.4,Nate Parker,17603,$15.86M
Exposed,2016,R,102 min,"Crime, Drama, Fantasy",4.3,Gee Malik Linton,10694,NaN
Resolution,2012,Not Rated,93 min,"Horror, Mystery, Thriller",6.3,Justin Benson,9795,NaN
Intruders,2015,R,90 min,"Drama, Horror, Thriller",5.7,Adam Schindler,9587,NaN
Superhero Movie,2008,PG-13,75 min,"Action, Comedy",4.5,Craig Mazin,57914,$26.64M
RV,2006,PG,99 min,"Adventure, Comedy, Family",5.5,Barry Sonnenfeld,51178,$71.73M
Wheelman,2017,TV-MA,82 min,"Action, Crime, Mystery",6.4,Jeremy Rush,12249,NaN
My Week with Marilyn,2011,R,99 min,"Biography, Drama",7,Simon Curtis,77658,$14.60M
Hitchcock,2012,PG-13,98 min,"Biography, Drama",6.8,Sacha Gervasi,66539,$6.01M
Chi-Raq,2015,R,127 min,"Comedy, Crime, Drama",5.7,Spike Lee,7592,$2.65M
XOXO,2016,TV-MA,92 min,"Drama, Music",5.3,Christopher Louie,5617,NaN
Respire,2014,Not Rated,91 min,Drama,7.1,Mélanie Laurent,5775,$0.04M
Madea's Family Reunion,2006,PG-13,107 min,"Comedy, Drama, Romance",5.1,Tyler Perry,9757,$63.26M
Goon: Last of the Enforcers,2017,R,101 min,"Comedy, Sport",5.8,Jay Baruchel,8923,NaN
You Again,2010,PG,105 min,"Comedy, Family, Romance",5.8,Andy Fickman,45234,$25.70M
MI-5,2015,R,104 min,"Action, Drama, Thriller",6.2,Bharat Nalluri,17484,NaN
St. Trinian's,2007,PG-13,97 min,"Comedy, Family",5.8,Oliver Parker,19937,NaN
Third Person,2013,R,137 min,"Drama, Romance",6.4,Paul Haggis,24065,$1.02M
Get Rich or Die Tryin',2005,R,117 min,"Biography, Crime, Drama",5.2,Jim Sheridan,40206,$30.98M
Happy End,2017,R,107 min,Drama,6.8,Michael Haneke,8300,$0.30M
Romeo & Juliet,2013,PG-13,113 min,"Drama, Romance",5.8,Carlo Carlei,9770,$1.16M
Saw IV,2007,R,93 min,"Horror, Mystery, Thriller",5.9,Darren Lynn Bousman,126687,$63.30M
Paranoia,2013,PG-13,106 min,"Drama, Thriller",5.7,Robert Luketic,32266,$7.38M
Transporter 2,2005,PG-13,87 min,"Action, Crime, Thriller",6.3,Louis Leterrier,174249,$43.10M
"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,PG-13,96 min,"Action, Adventure, Drama",6.1,Woo-Ping Yuen,14845,NaN
Hot Pursuit,2015,PG-13,87 min,"Action, Comedy, Crime",5.1,Anne Fletcher,43072,$34.51M
Step Up 3D,2010,PG-13,107 min,"Drama, Music, Romance",6.2,Jon M. Chu,51948,$42.40M
Max Payne,2008,PG-13,100 min,"Action, Crime, Drama",5.4,John Moore,115382,$40.69M
Beginners,2010,R,105 min,"Comedy, Drama, Romance",7.2,Mike Mills,81939,$5.79M
The Breadwinner,2017,PG-13,94 min,"Animation, Drama, Family",7.7,Nora Twomey,10237,$0.31M
Running Scared,2006,R,122 min,"Action, Crime, Drama",7.4,Wayne Kramer,92655,$6.86M
Candy,2006,R,108 min,"Drama, Romance",7.3,Neil Armfield,39689,$0.04M
Think Like a Man,2012,PG-13,122 min,"Comedy, Romance",6.6,Tim Story,39767,$91.55M
Open Water 2: Adrift,2006,R,94 min,"Adventure, Drama, Horror",5.1,Hans Horn,15582,NaN
The Legend of Zorro,2005,PG,129 min,"Action, Adventure, Romance",5.9,Martin Campbell,82394,$46.46M
Precious Cargo,2016,R,90 min,"Action, Comedy, Crime",4.6,Max Adams,6838,NaN
Black Book,2006,R,145 min,"Drama, Thriller, War",7.8,Paul Verhoeven,66409,$4.40M
Our Idiot Brother,2011,R,90 min,"Comedy, Drama",6.4,Jesse Peretz,79266,$24.81M
Flightplan,2005,PG-13,98 min,"Mystery, Thriller",6.3,Robert Schwentke,139268,$89.71M
A Girl Walks Home Alone at Night,2014,Not Rated,101 min,"Drama, Horror",7,Ana Lily Amirpour,24940,NaN
BPM (Beats Per Minute),2017,Not Rated,143 min,Drama,7.5,Robin Campillo,8590,$0.13M
What We Did on Our Holiday,2014,PG-13,95 min,"Comedy, Drama",6.9,Andy Hamilton,15898,NaN
Ninja Assassin,2009,R,99 min,"Action, Crime, Fantasy",6.4,James McTeigue,62921,$38.11M
Hit and Run,2012,R,100 min,"Action, Comedy, Romance",6.1,David Palmer,31783,$13.75M
The Railway Man,2013,R,116 min,"Biography, Drama, Romance",7.1,Jonathan Teplitzky,33371,$4.44M
Addicted,2014,R,106 min,"Drama, Thriller",5.2,Bille Woodruff,7273,$17.38M
The Women,2008,PG-13,114 min,"Comedy, Drama",4.9,Diane English,18660,$26.90M
Chaos,2005,R,106 min,"Action, Crime, Drama",6.5,Tony Giglio,47585,NaN
The Hero,2017,R,96 min,"Comedy, Drama, Romance",6.5,Brett Haley,5902,$4.08M
Denial,2016,PG-13,109 min,"Biography, Drama",6.6,Mick Jackson,14844,$4.07M
The Girl Who Played with Fire,2009,R,129 min,"Crime, Drama, Mystery",7.2,Daniel Alfredson,81954,$9.08M
Jersey Boys,2014,R,134 min,"Biography, Drama, Music",6.8,Clint Eastwood,29086,$47.03M
Maggie's Plan,2015,R,98 min,"Comedy, Drama, Romance",6.2,Rebecca Miller,13098,$3.35M
The Black Dahlia,2006,R,121 min,"Crime, Drama, Mystery",5.6,Brian De Palma,67125,$22.52M
Employee of the Month,2006,PG-13,103 min,"Comedy, Romance",5.5,Greg Coolidge,40610,$28.44M
The Queen,2006,PG-13,103 min,"Biography, Drama, History",7.3,Stephen Frears,95223,$56.44M
Solomon Kane,2009,R,104 min,"Action, Adventure, Fantasy",6.1,M.J. Bassett,64518,NaN
American Pastoral,2016,R,108 min,"Crime, Drama",6.1,Ewan McGregor,11736,$0.54M
YPF,2007,Not Rated,87 min,"Comedy, Drama, Romance",6.3,Martin Gero,18441,NaN
Walk of Shame,2014,R,95 min,Comedy,6,Steven Brill,46734,$0.04M
Perfect Sense,2011,R,92 min,"Drama, Romance, Sci-Fi",7.1,David Mackenzie,49282,$0.00M
Very Good Girls,2013,R,91 min,"Drama, Romance",6,Naomi Foner,12900,NaN
Hustle & Flow,2005,R,116 min,"Crime, Drama, Music",7.4,Craig Brewer,35964,$22.20M
Puss in Boots,2011,PG,90 min,"Animation, Action, Adventure",6.7,Chris Miller,128434,$149.26M
Tenacious D in The Pick of Destiny,2006,R,93 min,"Adventure, Comedy, Music",6.8,Liam Lynch,94107,$8.32M
The Whole Truth,2016,R,93 min,"Crime, Drama, Mystery",6.2,Courtney Hunt,17375,NaN
The Rum Diary,2011,R,119 min,"Comedy, Drama",6.2,Bruce Robinson,92970,$13.10M
The Man from Nowhere,2010,R,119 min,"Action, Crime, Thriller",7.8,Jeong-beom Lee,52406,$0.01M
A Little Chaos,2014,R,112 min,"Drama, Romance",6.5,Alan Rickman,17025,$0.55M
Fighting,2009,PG-13,105 min,"Action, Drama, Sport",5.6,Dito Montiel,30050,$23.04M
Bratz,2007,PG,110 min,"Comedy, Family, Music",2.9,Sean McNamara,16110,$10.01M
Philomena,2013,PG-13,98 min,"Biography, Drama",7.6,Stephen Frears,86247,$37.71M
Green Zone,2010,R,115 min,"Action, Drama, Thriller",6.8,Paul Greengrass,119698,$35.05M
